Core #,L,H,1st full ring,Missing Distance To Pith (DTP),Width innermost 3 rings (WI3R),Mean WI3R,Estimated # rings to pith (RTP),"If last vis ring not arching, extra rings to subtract",Adj rings to pith,Adj rings to pith values,downward curvature
C02,2.58,0.27,0.32,3.216666667,0.66,0.22,14.62121212,0,15,15,weak
C03,3.11,0.29,0.28,4.314008621,1.01,0.336666667,12.81388699,1,12,12,weak
C04,4.84,0.35,0.52,8.541285714,1.54,0.513333333,16.63886827,2,15,15,weak
C10,4.31,0.4,0.56,6.00503125,1.95,0.65,9.238509615,1,8,8,weak
R01T01,2.79,0.43,0.55,2.477819767,1.62,0.54,4.588555125,1,4,4,somewhat
R01T02,4.36,0.93,1.11,3.020053763,4.51,1.503333333,2.008904942,0,2,2,strong
R01T03,1.24,0.14,0.17,1.442857143,0.72,0.24,6.011904762,0,6,6,somewhat
R01T04b,1.47,0.14,0.16,1.999375,0.51,0.17,11.76102941,0,12,12,somewhat
R01T06,11.6,1.71,1.55,10.69125731,4.11,1.37,7.803837453,1,7,7,strong
R01T08,4.95,0.51,1,6.260514706,3.17,1.056666667,5.924777324,0,6,6,somewhat
R02T01,3.74,0.56,0.81,3.402232143,1.73,0.576666667,5.899824525,0,6,6,somewhat
R02T02,3.84,0.37,0.73,5.166621622,2.67,0.89,5.805192833,0,6,6,somewhat
R02T07,7.44,0.33,0.16,21.13227273,0.61,0.203333333,103.9292101,0,104,104,weak
R02XT02,10.35,1.02,1.18,13.63775735,3.36,1.12,12.17656907,0,12,12,strong
R03T01,1.36,0.15,0.45,1.616333333,1.85,0.616666667,2.621081081,0,3,3,strong
R03T07,1.65,0.37,0.78,1.104763514,1.67,0.556666667,1.984605114,0,2,2,strong
R03T08,1.57,0.17,0.36,1.897426471,1.46,0.486666667,3.898821515,0,4,4,strong
R04T01,2.72,0.2,0.73,4.724,1.75,0.583333333,8.098285714,0,8,8,somewhat
R04T02,3.14,0.42,0.71,3.144404762,2.6,0.866666667,3.628159341,0,4,4,strong
R05T01,8.08,0.82,1.15,10.36219512,3.13,1.043333333,9.931816411,1,9,9,somewhat
R06T01,4.94,0.39,0.5,8.016666667,2.15,0.716666667,11.18604651,0,11,11,somewhat
R06T02,5.33,0.34,0.39,10.61444853,1.28,0.426666667,24.87761374,1,24,24,somewhat
R06T03,0.94,0.12,0.19,0.980416667,0.48,0.16,6.127604167,0,6,6,strong
R07T01,4.89,0.36,0.28,8.4828125,0.75,0.25,33.93125,0,34,34,somewhat
R07T02,2.87,0.14,0.59,7.424375,1.81,0.603333333,12.30559392,1,11,11,strong
R08T02,4.39,0.77,1,3.513587662,3.16,1.053333333,3.33568449,0,3,3,strong
R091901,5.78,0.84,1.14,5.391488095,2.95,0.983333333,5.482869249,0,5,5,strong
R0XT01a,3.28,0.76,1.37,2.149473684,4.04,1.346666667,1.596143825,0,2,2,somewhat
RLARGE01,4.05,0.5,1.06,4.350625,2.54,0.846666667,5.138533465,0,5,5,strong
RLARGE02,6.28,0.8,0.89,6.56225,2.96,0.986666667,6.650929054,0,7,7,strong
S01T01,2.1,0.18,0.41,3.1525,1.64,0.546666667,5.766768293,0,6,6,strong
S01T02,2.79,0.15,0.16,6.56175,0.41,0.136666667,48.01280488,1,47,47,somewhat
S01T03,3.04,0.21,0.37,5.605952381,1.09,0.363333333,15.42922674,0,15,15,strong
S01T04,1.91,0.37,0.87,1.417466216,2.57,0.856666667,1.654629824,0,2,2,strong
S01T05,2.9,0.42,0.47,2.71297619,1.96,0.653333333,4.152514577,0,4,4,somewhat
S01T06,0.95,0.22,0.77,0.622784091,2.54,0.846666667,0.735571761,0,1,1,strong
S01T07,1.38,0.32,0.78,0.90390625,2.4,0.8,1.129882813,0,1,1,strong
S02T03,0.91,0.15,0.2,0.765083333,0.6,0.2,3.825416667,0,4,4,somewhat
S02T04,1.14,0.07,0.07,2.355714286,0.2,0.066666667,35.33571429,0,35,35,somewhat
S03T01,3.6,0.16,0.22,10.205,0.51,0.17,60.02941176,0,60,60,somewhat
S03T02a,0.91,0.21,0.2,0.597916667,0.7,0.233333333,2.5625,0,3,3,strong
S03T03b,4.13,0.15,0.3,14.28908333,0.75,0.25,57.15633333,0,57,57,weak
S03T05,0.94,0.08,0.06,1.420625,0.21,0.07,20.29464286,0,20,20,somewhat
S03T06,2.53,0.43,0.59,2.075726744,1.9,0.633333333,3.27746328,0,3,3,strong
S04T02,0.47,0.14,0.13,0.267232143,0.58,0.193333333,1.382235222,0,1,1,strong
S04T04,3.84,0.36,0.26,5.3,1,0.333333333,15.9,0,16,16,somewhat
S04T05,2.64,0.19,0.22,4.680263158,0.58,0.193333333,24.20825771,1,23,23,somewhat
S04T06,2.4,0.21,0.21,3.533571429,0.75,0.25,14.13428571,1,13,13,somewhat
S04T07b,0.75,0.09,0.09,0.82625,0.39,0.13,6.355769231,0,6,6,strong
S051901,7.28,0.51,0.44,13.24480392,1.19,0.396666667,33.39026199,1,32,32,somewhat
S05T04,3.39,0.51,1.14,3.071691176,2.42,0.806666667,3.807881624,1,3,3,strong
S061901,3.54,0.48,0.41,3.5034375,1.18,0.393333333,8.907044492,0,9,9,somewhat
S06T01,4.78,0.3,0.39,9.670166667,1.24,0.413333333,23.39556452,0,23,23,somewhat
S071901,1.22,0.17,0.08,1.179411765,0.3,0.1,11.79411765,1,11,11,strong
S081901b,2.17,0.22,0.22,2.785511364,0.47,0.156666667,17.77985977,0,18,18,somewhat
BF01T01,1.07,0.1,0.08,1.481125,0.38,0.126666667,11.69309211,1,11,11,somewhat
BF01T02,1.33,0.06,0.08,3.715208333,0.28,0.093333333,39.80580357,1,39,39,somewhat
BF021901a,0.96,0.12,0.11,1.02,0.23,0.076666667,13.30434783,0,13,13,strong
BF021902,2.85,0.16,0.25,6.425703125,0.58,0.193333333,33.23639547,0,33,33,weak
BF02T04,0.97,0.19,0.24,0.714013158,0.7,0.233333333,3.060056391,0,3,3,strong
BF02T05b,0.47,0.04,0.07,0.7103125,0.13,0.043333333,16.39182692,2,14,14,somewhat
BF03T01,1.23,0.12,0.13,1.6359375,0.39,0.13,12.58413462,0,13,13,somewhat
BF03T03,5.71,0.33,0.38,12.51503788,1.08,0.36,34.76399411,1,34,34,somewhat
BF03T05,1.89,0.15,0.13,3.05175,0.73,0.243333333,12.54143836,0,13,13,strong
BF03T08,1.09,0.14,0.27,1.130803571,0.74,0.246666667,4.584338803,0,5,5,strong
BF04T01,4.56,0.14,0.18,18.63571429,0.8,0.266666667,69.88392857,0,70,70,somewhat
BF04T04b,2.79,0.15,0.22,6.56175,0.69,0.23,28.52934783,1,28,28,strong
BF04T06,1.16,0.13,0.08,1.358846154,0.17,0.056666667,23.97963801,1,23,23,weak
BF04T07,3.95,0.2,0.19,9.8515625,0.69,0.23,42.83288043,0,43,43,somewhat
BF05T01,2.61,0.15,0.15,5.75175,0.38,0.126666667,45.40855263,0,45,45,weak
BF05T02b,1.11,0.13,0.15,1.249711538,0.36,0.12,10.41426282,0,10,10,strong
BF05T04,2.25,0.11,0.34,5.807840909,0.83,0.276666667,20.99219606,0,21,21,somewhat
BF05T05,0.77,0.04,0.05,1.8728125,0.13,0.043333333,43.21875,1,42,42,weak
BF05T06,1.16,0.12,0.32,1.461666667,0.88,0.293333333,4.982954545,0,5,5,strong
BF05T07,3.22,0.23,0.23,5.75,0.71,0.236666667,24.29577465,1,23,23,somewhat
BF06T01,2.05,0.19,0.13,2.859802632,0.36,0.12,23.8316886,0,24,24,strong
BF06T02,1.11,0.11,0.11,1.455113636,0.19,0.063333333,22.97547847,0,23,23,strong
BF06T03,2.62,0.35,0.26,2.626571429,0.62,0.206666667,12.70921659,1,12,12,weak
BF06T05,1.05,0.08,0.12,1.76265625,0.21,0.07,25.18080357,1,24,24,strong
BF06T06,1.18,0.07,0.04,2.521428571,0.14,0.046666667,54.03061224,2,52,52,somewhat
BF07T01,2.99,0.1,0.13,11.225125,0.51,0.17,66.03014706,2,64,64,weak
BF07T02,2.54,0.15,0.13,5.451333333,0.49,0.163333333,33.3755102,0,33,33,weak
BF07T03,1.81,0.29,0.26,1.557112069,0.79,0.263333333,5.913083806,1,5,5,strong
BF08T02,1.44,0.23,0.29,1.241956522,0.64,0.213333333,5.821671196,0,6,6,strong
BF08T03,2.02,0.17,0.13,3.085294118,0.34,0.113333333,27.22318339,1,26,26,somewhat
BF09T01,1.49,0.09,0.05,3.128472222,0.16,0.053333333,58.65885417,1,58,58,weak
F01T01,0.87,0.16,0.14,0.671328125,0.44,0.146666667,4.577237216,0,5,5,strong
F01T02,5.63,0.25,0.19,15.97345,0.47,0.156666667,101.9581915,1,101,101,weak
F01T03,7.62,0.23,0.2,31.67173913,0.45,0.15,211.1449275,1,210,210,somewhat
F01T04,3.71,0.21,0.27,8.297916667,0.91,0.303333333,27.35576923,1,26,26,somewhat
F02T07,0.77,0.1,0.14,0.791125,0.57,0.19,4.163815789,1,3,3,strong
F02T08,3.36,0.25,0.42,5.7698,1.26,0.42,13.73761905,0,14,14,somewhat
F02T09,4,0.15,0.24,13.40833333,0.68,0.226666667,59.15441176,0,59,59,weak
F02T10,3.4,0.14,0.16,10.39142857,0.52,0.173333333,59.95054945,0,60,60,somewhat
F02T12,2.67,0.14,0.14,6.435089286,0.46,0.153333333,41.9679736,0,42,42,somewhat
F03T01,2.49,0.13,0.46,6.026634615,1.66,0.553333333,10.89150834,0,11,11,somewhat
F03T05,1.35,0.36,0.45,0.8128125,1.2,0.4,2.03203125,1,1,1,strong
F03T06,9.72,0.68,0.7,17.70735294,2.49,0.83,21.33416017,1,20,20,weak
F03T07,12.42,0.42,0.62,46.11964286,1.84,0.613333333,75.19506988,1,74,74,weak
F03T10,2.46,0.22,0.19,3.548409091,0.63,0.21,16.89718615,1,16,16,strong
F03T11,11.49,0.37,0.47,44.78638514,1.32,0.44,101.7872389,0,102,102,weak
F04T01b,7.8,0.32,0.27,23.925625,0.65,0.216666667,110.4259615,0,110,110,weak
F04T02,5.83,0.19,0.19,22.45611842,0.53,0.176666667,127.1101043,0,127,127,weak
F04T03,2.39,0.14,0.11,5.170089286,0.48,0.16,32.31305804,0,32,32,somewhat
F04T04,2.68,0.12,0.33,7.541666667,0.6,0.2,37.70833333,0,38,38,strong
F04T06,1.8,0.1,0.11,4.1,0.47,0.156666667,26.17021277,4,22,22,somewhat
F05T01,3.59,0.15,0.19,10.81508333,0.72,0.24,45.06284722,0,45,45,somewhat
F05T02,1.22,0.08,0.05,2.365625,0.16,0.053333333,44.35546875,1,43,43,somewhat
F05T03,1.5,0.13,0.12,2.228461538,0.37,0.123333333,18.06860707,0,18,18,strong
F05T08a,1.74,0.15,0.14,2.598,0.47,0.156666667,16.58297872,0,17,17,strong
F06T01c,4.79,0.12,0.21,23.96010417,0.83,0.276666667,86.60278614,1,86,86,somewhat
F06T02,4.22,0.35,0.37,6.535142857,0.69,0.23,28.4136646,0,28,28,somewhat
F06T09,1.8,0.16,0.32,2.61125,0.83,0.276666667,9.438253012,0,9,9,strong
F06T10c,5.97,0.27,0.36,16.63541667,1.17,0.39,42.65491453,0,43,43,somewhat
F06T11a,3.19,0.11,0.08,11.61875,0.3,0.1,116.1875,1,115,115,weak
F06T12,2.59,0.32,0.33,2.780351563,0.64,0.213333333,13.03289795,0,13,13,strong
F06T13,4.76,0.29,0.38,9.911206897,1.16,0.386666667,25.63243163,0,26,26,somewhat
F06T15b,2.54,0.18,0.26,4.570277778,1.19,0.396666667,11.52170868,0,12,12,somewhat
F071902b,11.23,0.73,0.47,21.95967466,0.97,0.323333333,67.91651956,1,67,67,weak
F07T02b,6.61,0.29,0.23,18.97780172,0.93,0.31,61.21871524,0,61,61,weak
F07T03b,2.28,0.16,0.15,4.14125,0.32,0.106666667,38.82421875,1,38,38,strong
F081901,15.06,0.71,0.7,40.28521127,1.55,0.516666667,77.97137665,1,77,77,weak
F081902,2.69,0.22,0.33,4.221420455,0.72,0.24,17.58925189,1,17,17,strong
F09T01,15.88,0.61,0.73,51.98008197,2.25,0.75,69.30677596,0,69,69,weak
F09T02,4.61,0.21,0.22,12.75505952,0.58,0.193333333,65.97444581,0,66,66,somewhat
