Year_coll,Site,Patch,Patch2,Plot,Individual,Height_cm,Diam_1.3m_cm,Diam_0.3m_cm,AltDiam_cm,Height_AltDiam_cm,Diam_stump_cm,Cor_Height_cm,Cor_Diam_cm,Within_plot,CountperHa,Sex,Habit,Tree_Measure_Notes,height_error_u95_cm,Core_Notes,Sample_Type,Status,Measure_Certainty,Pith,Outer_rings,ORW,Within_plot,TR_Count,CoringHeight_Corr,CoringHeight_Corr_prop,Duncan_qual,Duncan_RTP_all,Duncan_RTP_all_prop,TreeAge_all,Duncan_RTP1,Duncan_RTP1_prop,TreeAge1,AgeAcc1,EstabDate1,EstabDate1_50,EstabDate1_10,Duncan_RTP2,Duncan_RTP2_prop,TreeAge2,AgeAcc2,EstabDate2,EstabDate2_50,EstabDate2_10,EstabDate2_20,DuncanRTP_3,Duncan_RTP3_prop,TreeAge3,AgeAcc3,EstabDate3,EstabDate3_50,EstabDate3_10,Remove,min_age
2019,RMB,Bog Forest,Bog Forest,BF01,BF01191,,,,11,63,,63,11,0,25,,Vertical,relatively sure of base,10,core broken but not drastically; interesting injury near pith -- photograph?,Tree,Live,High,1,1,NA,0,223,44,0.16,,,0,267,,0,267,"High CHA, Pith",1751,1750,1750,,0,267,"High CHA, Pith",1751,1750,1750,1740,,0,267,"High CHA, Pith",1751,1750,1750,0,0
2017,RMB,Bog Forest,Bog Forest,BF01,BF01T01,170,6.5,9,,,,55,,1,100,Female,Vertical,,2,,Tree,Live,High,0,1,NA,1,205,38,0.15,somewhat,11,0.04,254,11,0.04,254,"High CHA, Duncan",1762,1750,1760,11,0.04,254,"High CHA, Duncan",1762,1750,1760,1760,11,0.04,254,"High CHA, Duncan",1762,1750,1760,0,0
2017,RMB,Bog Forest,Bog Forest,BF01,BF01T02,240,5.5,16,,,,50,,0,25,,Vertical,,2,,Tree,Live,High,0,1,NA,0,144,34,0.16,somewhat,39,0.18,217,39,0.18,217,"High CHA, Duncan",1799,1750,1790,39,0.18,217,"High CHA, Duncan",1799,1750,1790,1780,39,0.18,217,"High CHA, Duncan",1799,1750,1790,0,0
2019,RMB,Bog Forest,Bog Forest,BF02,BF021901a,225,7,,,,,41,8,0,25,,Vertical,unsure of base; coring height could be 68,30,,Tree,Live,Low,0,1,NA,0,257,28,0.09,strong,13,0.04,298,,0,285,Minimum age,1733,1700,1730,,0,285,Minimum age,1733,1700,1730,1720,,0,285,Minimum age,1733,1700,1730,0,0
2019,RMB,Bog Forest,Bog Forest,BF02,BF021902,279,4,,,,,95,6,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,151,66,0.26,weak,33,0.13,251,33,0.13,251,"High CHA, Duncan",1767,1750,1760,33,0.13,251,"High CHA, Duncan",1767,1750,1760,1760,33,0.13,251,"High CHA, Duncan",1767,1750,1760,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T01,198,2.1,6.5,,,,30,6.5,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,176,20,0.1,,,0,196,,0,196,"High CHA, Pith",1820,1800,1820,,0,196,"High CHA, Pith",1820,1800,1820,1820,,0,196,"High CHA, Pith",1820,1800,1820,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T02,135,0.5,7.7,,,,30,7.7,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,206,20,0.09,,,0,226,,0,226,"High CHA, Pith",1790,1750,1790,,0,226,"High CHA, Pith",1790,1750,1790,1780,,0,226,"High CHA, Pith",1790,1750,1790,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T04,205,2,6.5,,,,30,6.5,1,100,,Vertical,,2,Uncertain of bark side,Tree,Live,High,0,0,0,1,148,20,0.12,strong,3,0.02,171,,0,168,Minimum age,1848,1800,1840,,0,168,Minimum age,1848,1800,1840,1840,,0,168,Minimum age,1848,1800,1840,0,1
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T05b,196,4.8,8,,,,30,8,1,100,,Vertical,,2,broken and a piece that doesn't belong to core (?) glued to mount? Contiguous part of core may be incomplete,Tree,Live,High,0,0,0,1,228,20,0.08,somewhat,14,0.05,263,,0,248,Minimum age,1768,1750,1760,,0,248,Minimum age,1768,1750,1760,1760,,0,248,Minimum age,1768,1750,1760,0,1
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T01,230,4.3,6.5,,,,30,6.5,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,208,20,0.08,somewhat,13,0.05,241,13,0.05,241,"High CHA, Duncan",1775,1750,1770,13,0.05,241,"High CHA, Duncan",1775,1750,1770,1760,13,0.05,241,"High CHA, Duncan",1775,1750,1770,0,0
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T03,277,7,11,,,,30,11,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,161,20,0.09,somewhat,34,0.16,215,34,0.16,215,"High CHA, Duncan",1801,1800,1800,34,0.16,215,"High CHA, Duncan",1801,1800,1800,1800,34,0.16,215,"High CHA, Duncan",1801,1800,1800,0,0
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T04,275,6.8,7,,,,30,7,1,100,,Vertical,,2,missing outtermost rings,Tree,Live,High,1,0,0,1,246,20,0.08,,,0,266,,0,266,Minimum age,1750,1750,1750,,0,266,Minimum age,1750,1750,1750,1740,,0,266,Minimum age,1750,1750,1750,0,1
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T05,200,5,8,,,,30,8,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,177,20,0.1,strong,13,0.06,210,13,0.06,210,"High CHA, Duncan",1806,1800,1800,13,0.06,210,"High CHA, Duncan",1806,1800,1800,1800,13,0.06,210,"High CHA, Duncan",1806,1800,1800,0,0
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T07a,260,6,6.5,,,,40,,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,280,27,0.09,,,0,307,,0,307,"High CHA, Pith",1709,1700,1700,,0,307,"High CHA, Pith",1709,1700,1700,1700,,0,307,"High CHA, Pith",1709,1700,1700,0,0
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T08,250,5.8,9.4,,,,95,,1,100,,Vertical,clean DBH,2,Uncertain of bark side; rotten sections,Tree,Live,High,0,0,0,1,182,66,0.26,strong,5,0.02,253,5,0.02,253,"High CHA, Duncan",1763,1750,1760,5,0.02,253,"High CHA, Duncan",1763,1750,1760,1760,5,0.02,253,"High CHA, Duncan",1763,1750,1760,0,1
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T01,180,5.5,10.5,,,,30,10.5,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,103,20,0.1,somewhat,70,0.36,193,,0,123,Minimum age,1893,1850,1890,,0,123,Minimum age,1893,1850,1890,1880,,0,123,Minimum age,1893,1850,1890,0,0
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T02,160,,9,,,,30,9,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,186,20,0.1,,,0,206,,0,206,"High CHA, Pith",1810,1800,1810,,0,206,"High CHA, Pith",1810,1800,1810,1800,,0,206,"High CHA, Pith",1810,1800,1810,0,0
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T04b,120,,5.5,,,,30,5.5,1,100,,Vertical,no pith,2,,Tree,Live,High,0,1,NA,1,76,20,0.16,strong,28,0.22,124,28,0.22,124,"High CHA, Duncan",1892,1850,1890,28,0.22,124,"High CHA, Duncan",1892,1850,1890,1880,28,0.22,124,"High CHA, Duncan",1892,1850,1890,0,0
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T05,158,1.9,5.5,,,,30,5.5,1,100,,Vertical,clean DBH,2,,Tree,Live,High,1,1,NA,1,135,20,0.13,,,0,155,,0,155,Minimum age,1861,1850,1860,,0,155,Minimum age,1861,1850,1860,1860,,0,155,Minimum age,1861,1850,1860,0,0
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T06,330,7.5,12,,,,30,12,0,25,,Vertical,clean DBH,2,Might be hard to calculate rings to pith,Tree,Live,High,0,1,NA,0,126,20,0.12,weak,23,0.14,169,23,0.14,169,"High CHA, Duncan",1847,1800,1840,23,0.14,169,"High CHA, Duncan",1847,1800,1840,1840,23,0.14,169,"High CHA, Duncan",1847,1800,1840,0,0
2017,RMB,Bog Forest,Bog Forest,BF04,BF04T07,250,5.5,7.5,,,,30,7.5,0,25,Female,Vertical,,2,,Tree,Live,High,0,1,NA,0,102,20,0.12,somewhat,43,0.26,165,43,0.26,165,"High CHA, Duncan",1851,1850,1850,43,0.26,165,"High CHA, Duncan",1851,1850,1850,1840,43,0.26,165,"High CHA, Duncan",1851,1850,1850,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T01,210,,11,,,,30,11,0,25,,Vertical,outside plot,2,,Tree,Live,High,0,1,NA,0,147,20,0.09,weak,45,0.21,213,45,0.21,213,"High CHA, Duncan",1803,1800,1800,45,0.21,213,"High CHA, Duncan",1803,1800,1800,1800,45,0.21,213,"High CHA, Duncan",1803,1800,1800,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T02b,380,,12,,,,30,12,0,13,,Vertical,30m W of plot,2,,Tree,Live,High,0,1,NA,0,335,20,0.06,strong,10,0.03,366,10,0.03,366,"High CHA, Duncan",1650,1650,1650,10,0.03,366,"High CHA, Duncan",1650,1650,1650,1640,10,0.03,366,"High CHA, Duncan",1650,1650,1650,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T03,380,,13,,,,30,13,0,13,,Vertical,30m W of plot,2,,Tree,Live,High,1,1,NA,0,249,20,0.07,,,0,269,,0,269,"High CHA, Pith",1747,1700,1740,,0,269,"High CHA, Pith",1747,1700,1740,1740,,0,269,"High CHA, Pith",1747,1700,1740,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T04,300,,13,,,,30,13,0,40,Female,Vertical,15m E of plot,2,,Tree,Live,High,0,1,NA,0,165,20,0.1,somewhat,21,0.1,206,21,0.1,206,"High CHA, Duncan",1810,1800,1810,21,0.1,206,"High CHA, Duncan",1810,1800,1810,1800,21,0.1,206,"High CHA, Duncan",1810,1800,1810,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T05,210,,5,,,,30,5,1,100,Male,Vertical,clean,2,,Tree,Live,High,0,1,NA,1,140,20,0.1,weak,42,0.21,202,42,0.21,202,"High CHA, Duncan",1814,1800,1810,42,0.21,202,"High CHA, Duncan",1814,1800,1810,1800,42,0.21,202,"High CHA, Duncan",1814,1800,1810,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T06,210,,7,,,,30,7,1,100,,Vertical,clean,2,,Tree,Live,High,0,1,NA,1,159,20,0.11,strong,5,0.03,184,5,0.03,184,"High CHA, Duncan",1832,1800,1830,5,0.03,184,"High CHA, Duncan",1832,1800,1830,1820,5,0.03,184,"High CHA, Duncan",1832,1800,1830,0,0
2017,RMB,Bog Forest,Bog Forest,BF05,BF05T07,240,,7,,,,30,7,1,100,,Vertical,clean,2,,Tree,Live,High,0,1,NA,1,116,20,0.13,somewhat,23,0.15,159,23,0.15,159,"High CHA, Duncan",1857,1850,1850,23,0.15,159,"High CHA, Duncan",1857,1850,1850,1840,23,0.15,159,"High CHA, Duncan",1857,1850,1850,0,0
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T01,310,5.5,8.8,,,,30,8.8,0,25,,Vertical,East of plot,2,,Tree,Live,High,0,0,0,0,113,20,0.13,strong,24,0.15,157,,0,133,Minimum age,1883,1850,1880,,0,133,Minimum age,1883,1850,1880,1880,,0,133,Minimum age,1883,1850,1880,0,1
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T02,240,,5.3,,,,30,5.3,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,214,20,0.08,strong,23,0.09,257,23,0.09,257,"High CHA, Duncan",1759,1750,1750,23,0.09,257,"High CHA, Duncan",1759,1750,1750,1740,23,0.09,257,"High CHA, Duncan",1759,1750,1750,0,0
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T03,240,,5.1,,,,30,5.1,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,136,20,0.12,weak,12,0.07,168,12,0.07,168,"High CHA, Duncan",1848,1800,1840,12,0.07,168,"High CHA, Duncan",1848,1800,1840,1840,12,0.07,168,"High CHA, Duncan",1848,1800,1840,0,0
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T04,175,,7.5,,,,30,7.5,0,25,,Vertical,North of plot,2,,Tree,Live,High,1,1,NA,0,245,20,0.08,,,0,265,,0,265,"High CHA, Pith",1751,1750,1750,,0,265,"High CHA, Pith",1751,1750,1750,1740,,0,265,"High CHA, Pith",1751,1750,1750,0,0
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T05,170,,5.1,,,,30,5.1,0,25,,Vertical,,2,,Tree,Live,High,0,1,NA,0,90,20,0.15,strong,24,0.18,134,24,0.18,134,"High CHA, Duncan",1882,1850,1880,24,0.18,134,"High CHA, Duncan",1882,1850,1880,1880,24,0.18,134,"High CHA, Duncan",1882,1850,1880,0,0
2017,RMB,Bog Forest,Bog Forest,BF06,BF06T06,125,,5.5,,,,30,5.5,0,25,,Vertical,,2,,Tree,Live,High,0,1,NA,0,150,20,0.09,somewhat,52,0.23,222,,0,170,Minimum age,1846,1800,1840,52,0.23,222,"High CHA, Duncan",1794,1750,1790,1780,52,0.23,222,"High CHA, Duncan",1794,1750,1790,0,0
2018,RMB,Bog Forest,Bog Forest,BF07,BF07T01,179,4.5,6.8,,,,24,6.8,0,25,,Vertical,trunk not entirely vertical until at least 15 cm above root collar,2,,Tree,Live,High,0,1,NA,0,185,16,0.06,weak,64,0.24,265,,0,201,Minimum age,1816,1800,1810,,0,201,Minimum age,1816,1800,1810,1800,,0,201,Minimum age,1816,1800,1810,0,0
2018,RMB,Bog Forest,Bog Forest,BF07,BF07T02,290,7.2,10.2,,,,22,10.5,0,25,,Vertical,personally requested by Kylona,2,,Tree,Live,High,0,1,NA,0,169,14,0.07,weak,33,0.15,217,33,0.15,217,"High CHA, Duncan",1800,1800,1800,33,0.15,217,"High CHA, Duncan",1800,1800,1800,1800,33,0.15,217,"High CHA, Duncan",1800,1800,1800,0,0
2018,RMB,Bog Forest,Bog Forest,BF07,BF07T03,233,3.9,6.9,,,,9,7.2,0,25,,Vertical,personally requested by Kylona,2,,Tree,Live,High,0,1,NA,0,158,5,0.03,strong,5,0.03,168,5,0.03,168,"High CHA, Duncan",1849,1800,1840,5,0.03,168,"High CHA, Duncan",1849,1800,1840,1840,5,0.03,168,"High CHA, Duncan",1849,1800,1840,0,0
2018,RMB,Bog Forest,Bog Forest,BF08,BF08T01,156,1.4,6.4,,,,19,6.2,0,25,,Vertical,,2,,Tree,Live,High,1,1,NA,0,247,12,0.05,,,0,259,,0,259,"High CHA, Pith",1758,1750,1750,,0,259,"High CHA, Pith",1758,1750,1750,1740,,0,259,"High CHA, Pith",1758,1750,1750,0,0
2018,RMB,Bog Forest,Bog Forest,BF08,BF08T02,322,6.7,13,,,,32,13,0,25,,Vertical,trunk not entirely vertical until at least 100 cm above root collar; lower trunk entirely surrounded by epiphytic TEPU,2,,Tree,Live,High,0,1,NA,0,265,22,0.07,strong,6,0.02,292,6,0.02,292,"High CHA, Duncan",1725,1700,1720,6,0.02,292,"High CHA, Duncan",1725,1700,1720,1720,6,0.02,292,"High CHA, Duncan",1725,1700,1720,0,0
2018,RMB,Bog Forest,Bog Forest,BF08,BF08T03,266,5.9,11.5,,,,49,11,0,25,,Vertical,lower trunk largely surrounded by epiphytic TEPU,2,,Tree,Live,High,0,1,NA,0,250,34,0.11,somewhat,26,0.08,310,26,0.08,310,"High CHA, Duncan",1707,1700,1700,26,0.08,310,"High CHA, Duncan",1707,1700,1700,1700,26,0.08,310,"High CHA, Duncan",1707,1700,1700,0,0
2018,RMB,Bog Forest,Bog Forest,BF09,BF09T01,206,4.6,7.4,,,,41,6.7,0,25,,Vertical,,2,,Tree,Live,High,0,1,NA,0,116,28,0.14,weak,58,0.29,202,,0,144,Minimum age,1873,1850,1870,,0,144,Minimum age,1873,1850,1870,1860,58,0.29,202,"High CHA, Duncan",1815,1800,1810,0,0
2017,RMB,Forest,Forest,F01,F01T01,370,15,19,,,,105,,0,17,,Horizontal,,100,,Tree,Live,Low,0,1,NA,0,244,44,0.15,strong,5,0.02,293,5,0.02,293,"Low CHA, Duncan",1723,1700,1720,5,0.02,293,"Low CHA, Duncan",1723,1700,1720,1720,5,0.02,293,"Low CHA, Duncan",1723,1700,1720,0,0
2017,RMB,Forest,Forest,F01,F01T02,350,35,30,,,,57,,0,17,,Horizontal,,100,,Tree,Live,Low,0,1,NA,0,323,25,0.06,weak,101,0.22,449,,0,348,Minimum age,1668,1650,1660,101,0.22,449,"Low CHA, Duncan",1567,1550,1560,1560,101,0.22,449,"Low CHA, Duncan",1567,1550,1560,0,0
2017,RMB,Forest,Forest,F01,F01T03,710,20,20,,,,95,,0,17,Female,Vertical,,10,,Tree,Live,High,0,1,NA,0,317,40,0.07,somewhat,210,0.37,567,,0,357,Minimum age,1659,1650,1650,,0,357,Minimum age,1659,1650,1650,1640,,0,357,Minimum age,1659,1650,1650,0,0
2017,RMB,Forest,Forest,F01,F01T04,460,20,31,,,,117,,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,200,49,0.18,somewhat,26,0.1,275,26,0.1,275,"High CHA, Duncan",1741,1700,1740,26,0.1,275,"High CHA, Duncan",1741,1700,1740,1740,26,0.1,275,"High CHA, Duncan",1741,1700,1740,0,0
2017,RMB,Forest,Forest,F02,F02T07,663,37,,,,,130,37,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,456,54,0.11,strong,3,0.01,513,3,0.01,513,"High CHA, Duncan",1503,1500,1500,3,0.01,513,"High CHA, Duncan",1503,1500,1500,1500,3,0.01,513,"High CHA, Duncan",1503,1500,1500,0,0
2017,RMB,Forest,Forest,F02,F02T08,580,22,,,,,130,22,1,100,,Vertical,,10,missing outtermost rings,Tree,Live,High,0,0,0,1,89,54,0.34,somewhat,14,0.09,157,,0,143,Minimum age,1873,1850,1870,,0,143,Minimum age,1873,1850,1870,1860,,0,143,Minimum age,1873,1850,1870,0,1
2017,RMB,Forest,Forest,F02,F02T09,1070,24,,,,,130,24,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,295,54,0.13,weak,59,0.14,408,59,0.14,408,"High CHA, Duncan",1608,1600,1600,59,0.14,408,"High CHA, Duncan",1608,1600,1600,1600,59,0.14,408,"High CHA, Duncan",1608,1600,1600,0,0
2017,RMB,Forest,Forest,F02,F02T10,1020,25,,,,,130,25,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,269,54,0.14,somewhat,60,0.16,383,60,0.16,383,"High CHA, Duncan",1633,1600,1630,60,0.16,383,"High CHA, Duncan",1633,1600,1630,1620,60,0.16,383,"High CHA, Duncan",1633,1600,1630,0,0
2017,RMB,Forest,Forest,F02,F02T12,560,25,,,,,130,25,0,17,,Vertical,,10,,Tree,Live,High,0,1,NA,0,492,54,0.09,somewhat,42,0.07,588,42,0.07,588,"High CHA, Duncan",1428,1400,1420,42,0.07,588,"High CHA, Duncan",1428,1400,1420,1420,42,0.07,588,"High CHA, Duncan",1428,1400,1420,0,0
2017,RMB,Forest,Forest,F03,F03T01,570,9.6,,,,,130,9.6,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,46,54,0.49,somewhat,11,0.1,111,11,0.1,111,"High CHA, Duncan",1905,1900,1900,11,0.1,111,"High CHA, Duncan",1905,1900,1900,1900,11,0.1,111,"High CHA, Duncan",1905,1900,1900,0,0
2017,RMB,Forest,Forest,F03,F03T05,560,13.5,,,,,130,13.5,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,132,54,0.29,strong,1,0.01,187,1,0.01,187,"High CHA, Duncan",1829,1800,1820,1,0.01,187,"High CHA, Duncan",1829,1800,1820,1820,1,0.01,187,"High CHA, Duncan",1829,1800,1820,0,0
2017,RMB,Forest,Forest,F03,F03T06,566,23,,,,,130,23,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,112,54,0.29,weak,20,0.11,186,20,0.11,186,"High CHA, Duncan",1830,1800,1830,20,0.11,186,"High CHA, Duncan",1830,1800,1830,1820,20,0.11,186,"High CHA, Duncan",1830,1800,1830,0,0
2017,RMB,Forest,Forest,F03,F03T07,660,24.3,,,,,130,24.3,1,100,,Horizontal,,100,,Tree,Live,Low,0,1,NA,1,151,54,0.19,weak,74,0.27,279,,0,205,Minimum age,1811,1800,1810,74,0.27,279,"Low CHA, Duncan",1737,1700,1730,1720,74,0.27,279,"Low CHA, Duncan",1737,1700,1730,0,0
2017,RMB,Forest,Forest,F03,F03T10,320,5.5,,,,,130,5.5,1,100,,Vertical,,10,,Tree,Live,High,0,1,NA,1,51,54,0.45,strong,16,0.13,121,16,0.13,121,"High CHA, Duncan",1895,1850,1890,16,0.13,121,"High CHA, Duncan",1895,1850,1890,1880,16,0.13,121,"High CHA, Duncan",1895,1850,1890,0,0
2017,RMB,Forest,Forest,F03,F03T11,460,20,,,,,130,20,1,100,,Vertical,rotten,10,Uncertain of bark side and looks like a piece was glued out of order,Tree,Live,High,0,1,NA,1,91,54,0.22,weak,102,0.41,247,,0,145,Minimum age,1871,1850,1870,102,0.41,247,"High CHA, Duncan",1769,1750,1760,1760,102,0.41,247,"High CHA, Duncan",1769,1750,1760,0,0
2017,RMB,Forest,Forest,F04,F04T01b,775,9.5,,,,,130,9.5,1,100,,Horizontal,,100,,Tree,Live,Low,0,1,NA,1,128,54,0.18,weak,110,0.38,292,,0,182,Minimum age,1834,1800,1830,110,0.38,292,"Low CHA, Duncan",1724,1700,1720,1720,110,0.38,292,"Low CHA, Duncan",1724,1700,1720,0,0
2017,RMB,Forest,Forest,F04,F04T02,995,25,,,,,130,25,1,100,,Horizontal,,100,,Tree,Live,Low,0,1,NA,1,328,54,0.11,weak,127,0.25,509,,0,382,Minimum age,1634,1600,1630,,0,382,Minimum age,1634,1600,1630,1620,127,0.25,509,"Low CHA, Duncan",1507,1500,1500,0,0
2017,RMB,Forest,Forest,F04,F04T03,682,22,,,,,130,22,1,100,,Horizontal,,100,,Tree,Live,Low,0,1,NA,1,238,54,0.17,somewhat,32,0.1,324,32,0.1,324,"Low CHA, Duncan",1692,1650,1690,32,0.1,324,"Low CHA, Duncan",1692,1650,1690,1680,32,0.1,324,"Low CHA, Duncan",1692,1650,1690,0,0
